Routing Name,COUNTRY ,From PostCode,To PostCode,service type,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
kiran,Bangladesh,UB35zx,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Barbados,SW15xz,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,
kiran,Belarus,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX
kiran,Belgium,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2
kiran,Belize,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Benin,SW15xz,SW15xz,PR,TP2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiran,Bermuda,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2
kiran,Bhutan,SW15xz,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2
kiran,Bolivia,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,TP2,TP2,TP2,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX
kiran,Bosnia and Herzegovina,SW15xz,SW15xz,PR,TP2,TP2,TP2,3HS,TP2,3HS,TP2,TP2,3HS,3HS,TP2,TP2,TP2,TP2,3HS,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX
kiran,Botswana,UB35zx,SW15xz,PR,TP2S,TP2S,TP2S,TP2S,TP2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX
kiran,Bouvet Island,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX
kiran,Brazil,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX
kiran,British Indian Ocean Territory,SW15xz,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX
kiran,Brunei Darussalam,UB35zx,SW15xz,PR,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,3HS,TP2,TP2,TP2,DOX,DOX,DOX,DOX,3HS,3HS,3HS,3HS,3HS,3HS,TP2,TP2,TP2,DOX,DOX,DOX,DOX,3HS,3HS,3HS,3HS,3HS,3HS,TP2,TP2,TP2,DOX,DOX,DOX,DOX,3HS,3HS,3HS,3HS,3HS,3HS,TP2,TP2,TP2,DOX
kiran,Bulgaria,SW15xz,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Burkina Faso,UB35zx,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,
kiran,Burundi,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX
kiran,Cambodia,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2
kiran,Cameroon,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Canada,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,,,2S,2S,2S,2S,2S,2S,2S,2S,2S,
kiran,Cape Verde,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX
kiran,Cayman Islands,UB35zx,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2
kiran,Central African Republic,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,TP2,TP2,TP2,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Chad,UB35zx,SW15xz,PR,TP2,TP2,TP2,3HS,TP2,3HS,TP2,TP2,3HS,3HS,TP2,TP2,TP2,TP2,3HS,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX
kiran,Chile,SW15xz,SW15xz,PR,TP2S,TP2S,TP2S,TP2S,TP2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2
kiran,China,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2
kiran,Christmas Island,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX
kiran,Cocos (Keeling) Islands,UB35zx,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX
kiran,Colombia,SW15xz,SW15xz,PR,3HS,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiran,Comoros,UB35zx,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,ECX,ECX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX
kiran,Congo,SW15xz,SW15xz,PR,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,,,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX
kiran,Cook Islands,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,3HS,3HS,3HS,3HS,3HS,3HS,TP2,TP2,TP2,DOX,DOX,DOX,DOX,3HS,3HS,3HS,3HS,3HS,3HS,TP2,TP2,TP2,DOX,DOX,DOX,DOX,3HS,3HS,3HS,3HS,3HS,3HS,TP2,TP2,TP2,DOX
kiran,Costa Rica,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Croatia,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,DOX,2S,2S,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX
kiran,Cuba,SW15xz,SW15xz,PR,2S,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiran,Cyprus,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,2S,2S,2S,TP2,TP2,TP2,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S
kiran,Czech Republic,SW15xz,SW15xz,PR,TP2,TP2,TP2,3HS,TP2,3HS,TP2,TP2,3HS,3HS,TP2,TP2,TP2,TP2,3HS,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX,DOX
kiran,Denmark,UB35zx,SW15xz,PR,TP2S,TP2S,TP2S,TP2S,TP2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,DOX,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,DOX,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2
kiran,Djibouti,SW15xz,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,ECX,ECX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2,DOX,DOX,DOX,2S,2S,2S,2S,2S,2S,TP2,TP2,TP2,TP2
kiran,Dominica,UB35zx,SW15xz,PR,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,DOX,DOX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX,ECX,ECX,ECX,2S,2S,2S,2S,2S,2S,2S,2S,2S,ECX
